Date,World
01-Jan-2010, 0.51 
04-Jan-2010, 0.60 
05-Jan-2010, 0.62 
06-Jan-2010, 0.69 
07-Jan-2010, 0.75 
08-Jan-2010, 0.81 
11-Jan-2010, 0.78 
12-Jan-2010, 0.70 
13-Jan-2010, 0.66 
14-Jan-2010, 0.66 
15-Jan-2010, 0.59 
18-Jan-2010, 0.57 
19-Jan-2010, 0.58 
20-Jan-2010, 0.51 
21-Jan-2010, 0.40 
22-Jan-2010, 0.29 
25-Jan-2010, 0.32 
26-Jan-2010, 0.36 
27-Jan-2010, 0.33 
28-Jan-2010, 0.29 
29-Jan-2010, 0.28 
01-Feb-2010, 0.33 
02-Feb-2010, 0.33 
03-Feb-2010, 0.37 
04-Feb-2010, 0.25 
05-Feb-2010, 0.11 
08-Feb-2010, 0.07 
09-Feb-2010, 0.12 
10-Feb-2010, 0.20 
11-Feb-2010, 0.27 
12-Feb-2010, 0.32 
15-Feb-2010, 0.33 
16-Feb-2010, 0.27 
17-Feb-2010, 0.34 
18-Feb-2010, 0.38 
19-Feb-2010, 0.43 
22-Feb-2010, 0.42 
23-Feb-2010, 0.27 
24-Feb-2010, 0.24 
25-Feb-2010, 0.14 
26-Feb-2010, 0.16 
01-Mar-2010, 0.20 
02-Mar-2010, 0.23 
03-Mar-2010, 0.28 
04-Mar-2010, 0.30 
05-Mar-2010, 0.48 
08-Mar-2010, 0.51 
09-Mar-2010, 0.51 
10-Mar-2010, 0.52 
11-Mar-2010, 0.55 
12-Mar-2010, 0.52 
15-Mar-2010, 0.44 
16-Mar-2010, 0.43 
17-Mar-2010, 0.53 
18-Mar-2010, 0.50 
19-Mar-2010, 0.41 
22-Mar-2010, 0.35 
23-Mar-2010, 0.39 
24-Mar-2010, 0.41 
25-Mar-2010, 0.46 
26-Mar-2010, 0.46 
29-Mar-2010, 0.48 
30-Mar-2010, 0.45 
31-Mar-2010, 0.48 
01-Apr-2010, 0.53 
02-Apr-2010, 0.57 
05-Apr-2010, 0.65 
06-Apr-2010, 0.74 
07-Apr-2010, 0.63 
08-Apr-2010, 0.61 
09-Apr-2010, 0.67 
12-Apr-2010, 0.72 
13-Apr-2010, 0.62 
14-Apr-2010, 0.76 
15-Apr-2010, 0.80 
16-Apr-2010, 0.60 
19-Apr-2010, 0.53 
20-Apr-2010, 0.59 
21-Apr-2010, 0.56 
22-Apr-2010, 0.50 
23-Apr-2010, 0.54 
26-Apr-2010, 0.54 
27-Apr-2010, 0.22 
28-Apr-2010, 0.12 
29-Apr-2010, 0.25 
30-Apr-2010, 0.18 
03-May-2010, 0.29 
04-May-2010, (0.03)
05-May-2010, (0.26)
06-May-2010, (0.78)
07-May-2010, (1.12)
10-May-2010, (0.33)
11-May-2010, (0.37)
12-May-2010, (0.17)
13-May-2010, (0.16)
14-May-2010, (0.48)
17-May-2010, (0.55)
18-May-2010, (0.65)
19-May-2010, (0.97)
20-May-2010, (1.46)
21-May-2010, (1.40)
24-May-2010, (1.32)
25-May-2010, (1.51)
26-May-2010, (1.26)
27-May-2010, (0.86)
28-May-2010, (0.84)
31-May-2010, (0.85)
01-Jun-2010, (0.94)
02-Jun-2010, (0.88)
03-Jun-2010, (0.78)
04-Jun-2010, (1.05)
07-Jun-2010, (1.22)
08-Jun-2010, (1.25)
09-Jun-2010, (1.20)
10-Jun-2010, (0.96)
11-Jun-2010, (0.99)
14-Jun-2010, (0.90)
15-Jun-2010, (0.75)
16-Jun-2010, (0.69)
17-Jun-2010, (0.73)
18-Jun-2010, (0.59)
21-Jun-2010, (0.41)
22-Jun-2010, (0.58)
23-Jun-2010, (0.67)
24-Jun-2010, (0.79)
25-Jun-2010, (0.81)
28-Jun-2010, (0.92)
29-Jun-2010, (1.20)
30-Jun-2010, (1.21)
01-Jul-2010, (1.24)
02-Jul-2010, (1.14)
05-Jul-2010, (1.18)
06-Jul-2010, (1.11)
07-Jul-2010, (1.00)
08-Jul-2010, (0.84)
09-Jul-2010, (0.71)
12-Jul-2010, (0.73)
13-Jul-2010, (0.59)
14-Jul-2010, (0.68)
15-Jul-2010, (0.71)
16-Jul-2010, (0.84)
19-Jul-2010, (0.77)
20-Jul-2010, (0.71)
21-Jul-2010, (0.73)
22-Jul-2010, (0.60)
