Date,FEZ US Equity  (R1),SPX Index  (L1)
2/24/2014,42.32,1847.61
2/25/2014,42.37,1845.12
2/26/2014,42.14,1845.16
2/27/2014,42.22,1854.29
2/28/2014,42.36,1859.45
3/3/2014,41.12,1845.73
3/4/2014,42.12,1873.91
3/5/2014,42.19,1873.81
3/6/2014,42.63,1877.03
3/7/2014,42.29,1878.04
3/10/2014,42.14,1877.17
3/11/2014,41.88,1867.63
3/12/2014,41.82,1868.2
3/13/2014,40.72,1846.34
3/14/2014,40.88,1841.13
3/17/2014,41.57,1858.83
3/18/2014,41.97,1872.25
3/19/2014,41.39,1860.77
3/20/2014,41.65,1872.01
3/21/2014,41.43,1866.52
3/24/2014,41.43,1857.44
3/25/2014,42.02,1865.62
3/26/2014,42.03,1852.56
3/27/2014,42.11,1849.04
3/28/2014,42.59,1857.62
3/31/2014,42.66,1872.34
4/1/2014,43.09,1885.52
4/2/2014,43,1890.9
4/3/2014,43.05,1888.77
4/4/2014,42.96,1865.09
4/7/2014,42.76,1845.04
4/8/2014,42.8,1851.96
4/9/2014,43.35,1872.18
4/10/2014,42.39,1833.08
4/11/2014,42.19,1815.69
4/14/2014,42.42,1830.61
4/15/2014,42.16,1842.98
4/16/2014,42.71,1862.31
4/17/2014,42.91,1864.85
4/21/2014,43,1871.89
4/22/2014,43.37,1879.55
4/23/2014,43.2,1875.39
4/24/2014,43.17,1878.61
4/25/2014,42.79,1863.4
4/28/2014,43.06,1869.43
4/29/2014,43.41,1878.33
4/30/2014,43.68,1883.95
5/1/2014,43.77,1883.68
5/2/2014,43.45,1881.14
5/5/2014,43.5,1884.66
5/6/2014,43.25,1867.72
5/7/2014,43.59,1878.21
5/8/2014,43.69,1875.63
5/9/2014,43.4,1878.48
5/12/2014,43.84,1896.65
5/13/2014,43.67,1897.45
5/14/2014,43.63,1888.53
5/15/2014,43.12,1870.85
5/16/2014,43.28,1877.86
5/19/2014,43.29,1885.08
5/20/2014,43.03,1872.83
5/21/2014,43.44,1888.03
5/22/2014,43.32,1892.49
5/23/2014,43.54,1900.53
5/27/2014,44.08,1911.91
5/28/2014,43.95,1909.78
5/29/2014,44.09,1920.03
5/30/2014,44.26,1923.57
6/2/2014,44.2,1924.97
6/3/2014,44.02,1924.24
6/4/2014,44.01,1927.88
6/5/2014,44.65,1940.46
6/6/2014,45.05,1949.44
6/9/2014,44.95,1951.27
6/10/2014,44.87,1950.79
6/11/2014,44.45,1943.89
6/12/2014,44.37,1930.11
6/13/2014,44.3,1936.16
6/16/2014,44.27,1937.78
6/17/2014,44.32,1941.99
6/18/2014,44.85,1956.98
6/19/2014,45.11,1959.48
6/20/2014,43.97,1962.87
6/23/2014,43.82,1962.61
6/24/2014,43.55,1949.98
6/25/2014,43.5,1959.53
6/26/2014,43.25,1957.22
6/27/2014,43.31,1960.96
6/30/2014,43.27,1960.23
7/1/2014,43.62,1973.32
7/2/2014,43.52,1974.62
7/3/2014,43.81,1985.44
7/7/2014,43.15,1977.65
7/8/2014,42.53,1963.71
7/9/2014,42.87,1972.83
7/10/2014,42.19,1964.68
7/11/2014,42.16,1967.57
7/14/2014,42.42,1977.1
7/15/2014,42.08,1973.28
7/16/2014,42.44,1981.57
7/17/2014,41.57,1958.12
7/18/2014,42.06,1978.22
7/21/2014,41.71,1973.63
7/22/2014,42,1983.53
7/23/2014,42.09,1987.01
7/24/2014,42.44,1987.98
7/25/2014,41.92,1978.34
7/28/2014,41.85,1978.91
7/29/2014,41.79,1969.95
7/30/2014,41.73,1970.07
7/31/2014,40.76,1930.67
8/1/2014,40.37,1925.15
8/4/2014,40.58,1938.99
8/5/2014,39.85,1920.21
8/6/2014,39.85,1920.24
8/7/2014,39.26,1909.57
8/8/2014,39.84,1931.59
8/11/2014,39.81,1936.92
8/12/2014,39.61,1933.75
8/13/2014,39.93,1946.72
8/14/2014,40.15,1955.18
8/15/2014,39.96,1955.06
8/18/2014,40.26,1971.74
8/19/2014,40.36,1981.6
8/20/2014,40.09,1986.51
8/21/2014,40.58,1992.37
8/22/2014,40.21,1988.4
8/25/2014,40.8,1997.92
8/26/2014,41.12,2000.02
8/27/2014,41.2,2000.12
8/28/2014,40.88,1996.74
8/29/2014,40.86,2003.37
9/2/2014,40.87,2002.28
9/3/2014,41.34,2000.72
9/4/2014,41.47,1997.65
9/5/2014,41.69,2007.71
9/8/2014,41.17,2001.54
9/9/2014,41.07,1988.44
9/10/2014,41.16,1995.69
9/11/2014,41.01,1997.45
9/12/2014,40.95,1985.54
9/15/2014,40.99,1984.13
9/16/2014,41.1,1998.98
9/17/2014,40.93,2001.57
9/18/2014,41.28,2011.36
9/19/2014,41,2010.4
9/22/2014,40.88,1994.29
9/23/2014,40.27,1982.77
9/24/2014,40.65,1998.3
9/25/2014,39.86,1965.99
9/26/2014,40.13,1982.85
9/29/2014,39.64,1977.8
9/30/2014,39.7,1972.29
10/1/2014,39.28,1946.16
10/2/2014,38.7,1946.17
10/3/2014,38.56,1967.9
10/6/2014,38.71,1964.82
10/7/2014,37.82,1935.1
10/8/2014,38.58,1968.89
10/9/2014,37.37,1928.21
10/10/2014,36.79,1906.13
10/13/2014,36.86,1874.74
10/14/2014,37.01,1877.7
10/15/2014,36.49,1862.49
10/16/2014,35.94,1862.76
10/17/2014,36.76,1886.76
10/20/2014,36.88,1904.01
10/21/2014,37.44,1941.28
10/22/2014,36.88,1927.11
10/23/2014,37.58,1950.82
10/24/2014,37.76,1964.58
10/27/2014,37.4,1961.63
10/28/2014,38.04,1985.05
10/29/2014,37.4,1982.3
10/30/2014,37.59,1994.65
10/31/2014,38.27,2018.05
11/3/2014,37.81,2017.81
11/4/2014,37.51,2012.1
11/5/2014,37.73,2023.57
11/6/2014,37.7,2031.21
11/7/2014,37.43,2031.92
11/10/2014,37.67,2038.26
11/11/2014,37.92,2039.68
11/12/2014,37.27,2038.25
11/13/2014,37.45,2039.33
11/14/2014,37.51,2039.82
11/17/2014,37.7,2041.32
11/18/2014,38.43,2051.8
11/19/2014,38.44,2048.72
11/20/2014,38.15,2052.75
